id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373156116022,Георгий Досманов,1 day ago,1502446218093,"Люба, вдруг таки прочитаешь.
1) не тараторь, тебя никто не гонит, а если гонит - расскажи как они не правы. Информация не воспринимается от монотонного монолога на скорости Канделаки;
2) передай привет монтажеру и звуковику. Фразы обрываются будто на полуслове. Из за этого и так очень слабо расставленные интонационные акценты теряются и внимание заостряется лишь на этом режущем ухо обрывании фраз;
3) при крупном плане над головой пол экрана пустого фона, за столом - процентов 80. Нужны более крупные планы, более верные композиционно кадры.",6
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373157771828,Hanz Zimmer,1 day ago,1502446218095,Алексей Навальный топчик,8
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373167442801,Rus Rider,1 day ago,1502446218097,"DarkMitr так проверяли же комплектацию по винкоду, чем ты слушал？",4
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373203148680,Hanz Zimmer,1 day ago,1502446218099,Щас боты подойдут скоро,3
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373251999798,за справедливость,1 day ago,1502446218100,Алексей Навальный великий,8
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373292728142,David Zhabin,1 day ago,1502446218102,"В описании ошибка - ""Мы требует""",2
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373309344870,Дмитрий Рожков,1 day ago,1502446218104,"Алексей Навальный А как насчёт до оснащения спец автомобилей? Установка спец оборудования, спец раскраска, установка мигалок и крякалок? Они же не на голых машинах без опознавательных знаков ездят.",7
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373403939166,Александр Колбасов,1 day ago,1502446218106,"Пол часа назад была более тысячи лайков, и восемь дизов. И за эти полчаса кремлеботы накидали  более 3000 дизов. Скорее бы уехать из такой страны",8
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373438147233,AWOL,1 day ago,1502446218110,"У меня одного лайки не показываются на комментах, которые в топе?",12
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373441249641,Denis Khan,1 day ago,1502446218112,"Дмитрий Рожков, это уже совсем другая история. С другими тендерами/откатами.",5
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373670989937,Sergey 245,1 day ago,1502446218113,НЭВЭЛЬНЫЙ БЛЭТ давай в прэзидэнты уже,2
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373677791031,jum bob,1 day ago,1502446218115,"Имбицил не пались! Совсем отупел? Комплектация )) Какая?? Пневмо-натяжители ремней безопасности, система старт-стоп и 12 подушек безопасности? ))) Или это твой папка мент бабки наши попиздил?",5
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373705345816,envy23hp,1 day ago,1502446218117,"за чем так тупо утверждать что идет якобы переплата,любой кто хоть немного сталкивался с закупом знает что это норма",1
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373842678912,jum bob,1 day ago,1502446218119,"Ну ты, видать явно не сталкивался )))) Потому что это нихуя не норма",5
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373892230183,ScarFace,1 day ago,1502446218120,"А 5 контор, которые липовый аукцион провели это тоже для ""раскраски"" и ""мигалок""?? Кремлеботы, ваши аргументы и вы  сами - смешны.",14
