id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies
z23njlay1xfodfqsracdp431zyza5czjz1ulvpp5snlw03c010c,Илья Муромец,18 hours ago,1502497937543,"Ну вот не верится мне, что 33 664 человека поставили  дизлайк и рады, что их грабят какие-то вонючие вротенберги... кремлевские шкуры на работе, ольгинские продажные упыри",0,false,0
z23thbio3vznetivhacdp432sdldglj5nvgk1opwdhxw03c010c,Levelling,19 hours ago,1502494337545,"Навальняшки, от того что кто-то станет жить хуже, вы лучше жить не станете. Не ведитесь на эту хрень.
Не вопрос, не все честно заработано миллеардерами, но не так как тут преподносят.",0,false,0
z23thbio3vznetivhacdp4341gv4iexusxpznbbgnghw03c010c,Levelling,19 hours ago,1502494337550,"Для того чтобы называть бюджетные деньги это те что наши с вами, покажи сволочь какие налоги ты заплатил мудила чтобы называть не свое своим.",0,false,0
z23thbio3vznetivhacdp432efusj4leuyt4eegqzapw03c010c,Levelling,19 hours ago,1502494337553,Олухи...,0,false,0
z23bdxqa0vzvwh3udacdp431ioeghgh0qajim1ue315w03c010c,Умали Шон,20 hours ago,1502490737556,тоа,0,false,0
z22nvdc4stnrhdhzk04t1aokgovushlvdeimjtq4e4qurk0h00410,красота по американски,20 hours ago,1502490737560,"Никакой Навальный придя к власти не будет давать деньги народу. Наоборот! Зажмет рот всем подряд, если надо и расстрелы введет. Голодный раб - самый плохой хозяин. А раб-фашист, как Навальный вдвойне херовый.",148,true,1
,,,,,,,
z230uhfhhzi4xtalnacdp43bmhwv0svth4ro2iocexxw03c010c,Макс Федоров,20 hours ago,1502490737567,"Ну рассказал и показал и что большинство видели фильм Бригада, вспоминайте кто курировал Сашу Белого. Так этих курирует ВВП и они такие как Березовский бывший, Ротенберги и есть основание пирамиды на вершине которой ВВП.",0,false,0
z23ainvq3piljxpod04t1aokgpaqpshiem5x22hhgvmork0h00410,Dupel Dupelew,21 hours ago,1502487137569,если у кого есть карточки СМП банка ...рвите их и никогда с Вротнебергами не связывайтесь ...они плохо кончат,0,false,0
z23aef2pzqyqgna3yacdp431eutcmdkdpqxgqyieswpw03c010c,Дмитрий Колчанов,21 hours ago,1502487137573,+,0,false,0
